Money	/home/jmandel/hobby/r6breaks/output/Money.report.json	1	0	1	1
Narrative	/home/jmandel/hobby/r6breaks/output/Narrative.report.json	1	0	1	1
oid	/home/jmandel/hobby/r6breaks/output/oid.report.json	1	0	1	1
ParameterDefinition	/home/jmandel/hobby/r6breaks/output/ParameterDefinition.report.json	1	0	1	1
Period	/home/jmandel/hobby/r6breaks/output/Period.report.json	1	0	1	1
Range	/home/jmandel/hobby/r6breaks/output/Range.report.json	1	0	1	1
Ratio	/home/jmandel/hobby/r6breaks/output/Ratio.report.json	1	0	1	1
string	/home/jmandel/hobby/r6breaks/output/string.report.json	1	0	1	1
time	/home/jmandel/hobby/r6breaks/output/time.report.json	1	0	1	1
url	/home/jmandel/hobby/r6breaks/output/url.report.json	1	0	1	1
uuid	/home/jmandel/hobby/r6breaks/output/uuid.report.json	1	0	1	1
Media	/home/jmandel/hobby/r6breaks/output/Media.report.json	8	0	8	2
ImmunizationRecommendation	/home/jmandel/hobby/r6breaks/output/ImmunizationRecommendation.report.json	4	0	4	2
MolecularSequence	/home/jmandel/hobby/r6breaks/output/MolecularSequence.report.json	4	0	4	2
SubstanceNucleicAcid	/home/jmandel/hobby/r6breaks/output/SubstanceNucleicAcid.report.json	4	0	4	2
CatalogEntry	/home/jmandel/hobby/r6breaks/output/CatalogEntry.report.json	3	0	3	2
GraphDefinition	/home/jmandel/hobby/r6breaks/output/GraphDefinition.report.json	3	0	3	2
ImmunizationEvaluation	/home/jmandel/hobby/r6breaks/output/ImmunizationEvaluation.report.json	3	0	3	2
Linkage	/home/jmandel/hobby/r6breaks/output/Linkage.report.json	3	0	3	2
ProductShelfLife	/home/jmandel/hobby/r6breaks/output/ProductShelfLife.report.json	3	0	3	2
Signature	/home/jmandel/hobby/r6breaks/output/Signature.report.json	3	0	3	2
SubstanceReferenceInformation	/home/jmandel/hobby/r6breaks/output/SubstanceReferenceInformation.report.json	3	0	3	2
SupplyDelivery	/home/jmandel/hobby/r6breaks/output/SupplyDelivery.report.json	3	0	3	2
SupplyRequest	/home/jmandel/hobby/r6breaks/output/SupplyRequest.report.json	3	0	3	2
TestScript	/home/jmandel/hobby/r6breaks/output/TestScript.report.json	3	0	3	2
VerificationResult	/home/jmandel/hobby/r6breaks/output/VerificationResult.report.json	3	0	3	2
ClinicalImpression	/home/jmandel/hobby/r6breaks/output/ClinicalImpression.report.json	2	0	2	2
DocumentManifest	/home/jmandel/hobby/r6breaks/output/DocumentManifest.report.json	2	0	2	2
ResearchDefinition	/home/jmandel/hobby/r6breaks/output/ResearchDefinition.report.json	2	0	2	2
SubstanceAmount	/home/jmandel/hobby/r6breaks/output/SubstanceAmount.report.json	2	0	2	2
decimal	/home/jmandel/hobby/r6breaks/output/decimal.report.json	1	0	1	2
TestReport	/home/jmandel/hobby/r6breaks/output/TestReport.report.json	1	0	1	2
id	/home/jmandel/hobby/r6breaks/output/id.report.json	1	0	0	3
